2025-03-30 23:49:08,905 - INFO - Timestep 62274| Episode 88/500000 | Score: 5.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.86s |
2025-03-30 23:49:09,358 - INFO - Timestep 62960| Episode 89/500000 | Score: 1.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:10,151 - INFO - Timestep 64162| Episode 90/500000 | Score: 4.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.79s |
2025-03-30 23:49:10,486 - INFO - Timestep 64664| Episode 91/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:11,213 - INFO - Timestep 65758| Episode 92/500000 | Score: 3.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.73s |
2025-03-30 23:49:11,716 - INFO - Timestep 66499| Episode 93/500000 | Score: 2.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.50s |
2025-03-30 23:49:12,170 - INFO - Timestep 67182| Episode 94/500000 | Score: 1.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:12,502 - INFO - Timestep 67680| Episode 95/500000 | Score: 0.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:12,987 - INFO - Timestep 68415| Episode 96/500000 | Score: 2.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.48s |
2025-03-30 23:49:13,316 - INFO - Timestep 68910| Episode 97/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:13,652 - INFO - Timestep 69412| Episode 98/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:49:13,999 - INFO - Timestep 69929| Episode 99/500000 | Score: 0.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.35s |
Model saved!
2025-03-30 23:49:14,350 - INFO - Timestep 70426| Episode 100/500000 | Score: 0.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:49:14,724 - INFO - Timestep 70934| Episode 101/500000 | Score: 0.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.37s |
2025-03-30 23:49:15,300 - INFO - Timestep 71618| Episode 102/500000 | Score: 1.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.58s |
2025-03-30 23:49:15,634 - INFO - Timestep 72111| Episode 103/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:15,964 - INFO - Timestep 72610| Episode 104/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:16,299 - INFO - Timestep 73114| Episode 105/500000 | Score: 0.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:16,946 - INFO - Timestep 74103| Episode 106/500000 | Score: 3.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:49:17,356 - INFO - Timestep 74721| Episode 107/500000 | Score: 1.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:49:17,692 - INFO - Timestep 75220| Episode 108/500000 | Score: 0.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:49:18,141 - INFO - Timestep 75900| Episode 109/500000 | Score: 1.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.45s |
